titles,category
이정후가 기아 왔으면 외야 포변 가능했을까요 ,KIA
코카콜라    볼때 마다 느끼는데,KIA
    김도영이 이정후를 지운다   억원 돌파는 기정사실화    억까지 한방에  하나도 안아깝다,KIA
  로 이적했으면 영구결번 욕심은 안내는게 맞죠   ,KIA
백성진 팀장 탐나네요,KIA
메리 갸리스마스    ,KIA
김도영 이대로가면 포스팅하겠죠 ,KIA
김도영  무려     전체  번  제쳤다     세계  위  위엄 차세대 월드스타 등장인가,KIA
그나저나 김도영 지역연고 드래프트 마지막 년도라서요,KIA
전북현대 때문에 구단주 빡쳤나봅니다,KIA
변우혁 윤도현 박민 박정우,KIA
캔버라 캐벌리 파견 선수들 최종 성적    ,KIA
배 터지겠는 기아     드랩       ,KIA
김도영 연봉은  억부터 시작해야 맞다고 보네요,KIA
요즘은 뽑지도않는  차   라운더 대박픽,KIA
기아    최초 투수영입은 안우진이다,KIA
지금은 임기영   신청이 이해가 가기도 하네요,KIA
남들 다    강이래는데 이악물고 아니라는 자팀팬은,KIA
강효종 충암고 시절 투구     ,KIA
내년 기아 전력의 긍정적인 부분과 우려되는 부분,KIA
최원준 박찬호 놓치면,KIA
김도영 더더욱 맘에드는건 이거죠,KIA
박찬호  최원준 다 놓쳤을 때     년 야수 라인업,KIA
김도영 감성 모르면 나가라,KIA
감독이 이범호라서 다행인점  ,KIA
다시 생각해도 코시에 네일 없었으면 업셋 당했을듯  ,KIA
김도영 연봉   억 돌파  심재학  적합하게 예우할 것 ,KIA
우승트로피에 이미  기  써둔 마당에 나락은 무슨,KIA
김도영 마킹 유니폼 매출만    억원,KIA
기아 타선 최근  년     ,KIA
소설 영화시나리오라도 욕먹을 시나리오,KIA
송성문은   로 사는게 아니라,KIA
김도영은   스타성 엄청 나네요,KIA
냉정하게 기아 내년에      처럼 꼬라박을수도 있음,KIA
내년 엔트리 생각하다가  ,KIA
송성문이 정말 탐나네요  ,KIA
근데 진짜 전력분석 파트는  년만에 강해진이유도 억제기때문인가요 ,KIA
이 경기 기억하세요  기아    삼성  이 경기후 전승,KIA
도영이 유니폼 약 대략 기준 총    만장 팔렸다네요,KIA
갸티비   임기영 계약 소감,KIA
기아 트레이드 안했으면  라 야수 픽 확률 높았네요,KIA
    년 이후 위험한 투수들,KIA
김석환도 점점 노망주가 되어가네요,KIA
기아상대로 돈 타먹을 생각하면 안댐  ,KIA
최원준 기아에 계속 남아야 합니다 ,KIA
내년 양최박조 중에 두명은 잡겠죠 ,KIA
기아는 주전 야수 타격 급아니면 안잡습니다,KIA
도영이 유니폼 수익 잠정   억이라네요    ,KIA
 아무리 김선빈이라도 올해는 어려울 것이라고   김도영 깜놀        세        저력     가 미쳤다 ,KIA
기아는 협상할때 수틀리면 테이블 바로 엎습니다,KIA
그냥 내년에 박찬호 최원준 둘다 무리해서 잡아야 한다고 하는 사람은 거르면 됨,KIA
사실 리빌딩이건 리툴링이건 윈나우건 상관없습니다,KIA
전 조상우는 전상현     정해영 군복무 타이밍과 겹쳐서 어지간하면 잡았으면 하네여,KIA
결국은 최원준 박찬호 둘 중 양보하는 사람이 남겠죠,KIA
이 초딩 두명이 좌담에,KIA
기아가  급이 아니면 오버페이 안하는 이유는 간단하죠,KIA
내년 우승시 셀캡 한해 터트리고   다잡았음 하네요,KIA
기아가 올해 우승한 이유 ,KIA
우승하면 조상우 떠나도 익스큐즈겠죠  ,KIA
윤석민은 재능 원툴이엇죠 솔직히,KIA
기아는 아이러니하게도 조상우가 적당히 잘하기를 원하겠네요 ,KIA
야알못 친구에게 보내는 사랑의 전광판 편지,KIA
내년 조금이라도 박찬호를 덜보고 싶은 분들께 전하는 팁,KIA
양현종     거취에 대해  팬분들은 걱정하지 마시길,KIA
문득 든 생각인데 김태형 말입니다,KIA
최원준 팔자고 했던 분이 이젠 김도영 이야기하시네,KIA
김성한 감독 젊은 시절,KIA
김도영 박진만같은 감독만나서 개굴리면 수비 나아지겠죠,KIA
양다리고 여미새고     사생활은 대중에 폭로할 사안이 아님    ,KIA
임기영 선수도 미국훈련 가네요,KIA
김도영 중견수 보내자는 사람은 왜 최원준 생각은 안하는지  ,KIA
아직도 최원준  번 이야기 하시는 분들 계시네,KIA
  는 포지션 상관없이 그냥 타격 좋은 선수 영입하는게 제일 좋은거 같아요,KIA
박찬호는 민심이 어쩌다 이렇게 됐나요  ,KIA
기아가 생각만큼 양현종이 절실하지 않을수도 있습니다,KIA
양현종이면 이런 상황에서 어떤 선택을 하려나요 ,KIA
    루키들중에 야수  명 투수  명 이렇게만 터져도 여한이 없을듯,KIA
요즘 폭 글 보면 공인 신분이라고 너무좀 하는거같음,KIA
원준이는 언제 대성할까요  ,KIA
윤도현 기대치가 홍종표때보다 더 높나요 ,KIA
김도영도 김혜성 사례 참고해야됨,KIA
내년 성적을 떠나 마음같아서는,KIA
건창이햄은 팀에 자리가 없을까요  ,KIA
박찬호 최원준 조상우는 내년 성적에 따라 어차피 결정됨,KIA
개인적인 도영이 타순 바람,KIA
광주 야구부 있는 초등학교 알려주세요,KIA
손민한이 본 윤석민  ,KIA
최형우 기아 성적이 삼성 시절 성적이랑 비비는게 말도 안되네요,KIA
리툴링 기조로 가면 제일 안잡을 선수가 박찬호 아닐까요,KIA
김혜성 컴백하나요 ,KIA
최대한 보수적인 내년 기아 라인업 기대치    ,KIA
슬슬 김선빈 다음도 생각해야할것 같은데  ,KIA
김유민이 음주운전한건 잘못한건 맞는데 왜 기아팬들이  ,KIA
사실    팬들 애써 골글에서 부정하려는것,KIA
올 시즌 기아 병살타가 많아보였던 이유,KIA
조상우 트레이드는 진짜 꿀이네요 드러눕지만 않는다면요,KIA
윤도현이 문현빈보다 초대형 유망주 인가유   ,KIA
생각해보니 키움이 여름에 요구한게 쎄긴 했네요,KIA
박찬호의 가치,KIA
근데 우리 수비 주전 교통정리가 어떻게 되나요 ,KIA
조상우 트레이드 댓가가 윤도현이였으면 ,KIA
  시즌 한 시즌 쉬고 송성문 잡는 시나리오도 좋아보이네요,KIA
임기영은  년뒤   인가요 ,KIA
내년 시즌 기아 타순 성적 예상,KIA
팬심 담아서 최형우 대체자는 석콴코인 밀어보는데 어림없는소리지만,KIA
 현재는    어렵다  조상우  높아진 국내 잔류 가능성       와 비   다년계약으로 이어지나,KIA
지금 논란 일으킨 사람들은 정작 중요한걸 모른다 ,KIA
 언젠가 터질 선수 기아 초대박 유망주 부상 악몽 이제 훌훌     시즌 자리잡나,KIA
 키움     는 윈 나우           키움은 셀 나우          ,KIA
키움 키스톤 둘 다 없는데 조상우 팔면서 레드종표 안불렀나,KIA
박병호가 미국안가고    했으면 최고액 가능했을까요 ,KIA
기아는     시즌 종료 후 송성문에 집중해야죠,KIA
다년은 원래 구자욱 박세웅 고영표급한테나 주는거임,KIA
내년에 기아가 박찬호에게 제시할 금액은   억 정도 아닐까 싶어요,KIA
루케테들은 선수 가치에 대해서 전혀 모르시는듯 하네요,KIA
박찬호는  번 가면 최상급이죠,KIA
김기태 기행중에 제일 충격이었던게,KIA
조상우는 기아에서  년만 쓰려고 데려온 거죠 ,KIA
최소   억 이상 준비  다년계약 선택기로               박찬호 최원준 조상우 중 누구 택할까,KIA
박찬호 몸값은 내년 시즌 끝나고 얘기하면 되죠 ,KIA
 오버페이 생각 없다  장현식 떠나고 임기영 남았다   신혼  서건창의 상황은     포커스 ,KIA
이종범 이범호 행보가 비교됨,KIA
이 선수는 누군가요       ,KIA
조상우 대려오면서  라준거 뭐야 했는데 냉정하게보면,KIA
이종범은 기아 감독할수 있는 기회를 두번이나 스스로 걷어찬거죠,KIA
내년 기아 홈런 예상,KIA
두산 한화 기아 불펜 순위가 어떻게 되나유    ,KIA
진짜 최원준은 우타를 했으면,KIA
엥 구단고위층에서 이종범     지도자 생활 막고 있나요 ,KIA
위즈덤 기대 성적,KIA
완전개인적 생각으로 라인업,KIA
내년 양현종   가 진짜 궁금하네요,KIA
전타갤같은 싸패커뮤 하는분들이 엠팍에도 많다구요    ,KIA
도영  찬호  전타 요렇게 차단하니까 그나마 깔끔하네요,KIA
최원준 너는 후딱 다른팀 알아봐라,KIA
와      우승하고 오랜만에 한게왔는데 아직도 싸우네요,KIA
전상일  기아는 합리적으로 돈을 쓰기로 유명한 구단이다,KIA
심우준 계약 없었다면 박찬호는  년에 얼마가 정배였나요 ,KIA
역사상 최악의 팬덤 전타갤,KIA
타팀팬이 보는 박찬호   몸값,KIA
찬호가   ,KIA
기아 마지막 음주운전 처벌 손영민인가요 ,KIA
진심 기아팬인데 박찬호   억 주자는거임 ,KIA
전타갤은 제발 망상에서 깨어나시길 ,KIA
김태균채널 김선빈 출연예정,KIA
내년 윤도현 성적 이정도면 만족 불만족,KIA
별 이상한 무쓸모 자료들이밀어서 언어도단 그만하세요,KIA
임기영의 고백     아예 안 봤다 그래도 꼭     남고 싶었다 ,KIA
구단팬 말고 도영맘 찬호맘들 오늘도 여전하네,KIA
다음 시즌 나성범   홈런    타점이상 깔듯,KIA
김도영이 코시 우승 기여도  등 아닌가요 ,KIA
박찬호 때문에 생긴 사이트  박찬호 때문에 망할 거 같다 ,KIA
김태형 종신기아 선언  ,KIA
  년도 기아엔트리 명단,KIA
이종범은 딱     년까지죠,KIA
나성범 역전 투런에 가려졌던 곽도규        전 호투,KIA
크보스탯 어플이랑 스탯티즈랑 기록이 다른데,KIA
김도영  코시에서  명 중 내가 제일 못한 것 같다 ,KIA
드디어 도착했네요,KIA
이종범이 역대 우타 우르크   위인거 아셨나요 ,KIA
김도영 논란이 특이한게 특정 포지션 안준다고 말많은건 첨보네요,KIA
박찬호가 주장이요   ,KIA
아무래도 구단이 서건창선수한테,KIA
우리나라는 용서를 모르는듯,KIA
이종범이 까이는건 태생 문제가 크죠,KIA
전에 질싸썰 뜬 신인 누구였죠 ,KIA
루케테를 제외한 모든 기아팬이 싫어하는데,KIA
최지민 임기영   년 필승조들 안식년 이유가 멀까요 ,KIA
류현진 유튜브 조횟수 치트키 네요,KIA
박찬호 라  라 어떤가요,KIA
 내가 다 부담      김선빈표 미니캠프  박찬호 박정우 한준수 오키나와행,KIA
임기영     신청 전 심재학 단장과 따로 이야기 나눴다,KIA
이게 제 자가보면 루케테보다 후자가 한심할걸요,KIA
짭찬 까는거 광기의 영역에 제말에 답변 제대로 하는분도 못봄,KIA
위즈덤 계약이 월요일  화요일 정도 나오려나요,KIA
엠팍에 지령이나 단톡 돌고 있는거 확신합니다,KIA
기아는 이제 외부   는 끝난거죠 ,KIA
이종범 장나라 데려산다는영상,KIA
아씨 해도해도 너무 하는거 아니에요  진짜 ,KIA
홍세완 결혼식 사진    ,KIA
양현종 김현수 선수,KIA
박찬호를  라  라 지명권 트레이드하면 찬성하나요 ,KIA
이종범의 가면이 탄로났습니다,KIA
박찬호는,KIA
장애인비하 지역비하 홍종표는 아깝다 버리지마라 하면서,KIA
아니 자꾸 왜 박찬호를 버리니 마니 하는거임,KIA
김도영 수비는 나중에 김선빈 뜬공 같은 얘기로 흘러갈겁니다,KIA
위스덤 외야에 박아두긴 힘들겠죠 ,KIA
김혜성 포스팅 안되고 잔류면 진짜 김선빈 대체자로 영입하면 딱인데,KIA
최원준 스텝업 한 번 더 할것같지않나요 ,KIA
기아 타선이 나쁘지 않은게,KIA
위즈덤 와서 우혁이한테 노하우 알려주면 밥값 어느정도 한거죠 ,KIA
내년 기아의 가장큰 변수는 이거 아닌가요,KIA
김도현 좌승현 황준서 순서가 어떻게 되나요    ,KIA
너무 어려진 기아 투수진,KIA
유도영 기회받기만 하면,KIA
퉁버지는 내년이 끝이라면 꽂동은퇴식 처럼 챙겨줄까요 ,KIA
아무리봐도 펨코 단톡방은 여론조작하는 방이 아닌거 같은데요,KIA
그냥 박찬호를 당장 틀드해버리는게 낫지않아요 ,KIA
김도현 꽤 비싸게 주고 데려왔었군요,KIA
위즈덤 한국오면 메이져에서처럼 붕붕거리진 않을거같아요,KIA
김도현 선수는 어떻게 기아로 오게 되었나요 ,KIA
박찬호는 기아 주장감이에요,KIA
위즈덤 내년 타순 어디가 제일 좋아보이시나요 ,KIA
김혜성이    나오면 포지션 고려 할 필요 없죠,KIA
개인적으로 박찬호 논쟁이나 말씀 하실분들은 제목에 박찬호 이름 박아주시면 안될까요,KIA
객관적인 골든글러브 박찬호의 스탯 위치   ,KIA
박찬호는 대체가능한 선수임,KIA
근데 기아는 김혜성 사오면 포지션이 완전 꼬이긴함,KIA
김도현은 선발 키워야죠 조상우까지 데려온 마당에,KIA
전타갤이 왜 욕먹는지 모르겠네,KIA
장현식보다 더 탐나는 불펜투수,KIA
최지민 부활기도회,KIA
프로야구 감독중 아름다운 이별한 감독이 있을까요 ,KIA
키움팬으로써 올해 조상우를 봣을때 부활가능성   퍼 이상으로 봅니다 ,KIA
근데 김선빈은 어느 포지션으로 가야할까요 ,KIA
조상우가 메이저 도전은 아직 마음에 있는 것 같네요,KIA
박찬호 김도영 문제는 선후관계이해가 필요합니다  장문주의 타팀분들 보시는거자유 ,KIA
전타갤 쉴더들 논리 신기하네요,KIA
김혜성 리턴하면 기아가 돈 풀듯,KIA
박찬호 적정가면 잡고 아니면 보내야된다는 분들의  적정가 는 얼마 정도인가요 ,KIA
저는 그래도 박찬호에게 고맙네요,KIA
김혜성 포스팅 못나가고   나오면 기아 쇼미더머니 해라,KIA
전타갤에서만 박찬호 여론이 안좋다 ,KIA
도대체 우승을 해도 뭐가 그렇게 불만인지,KIA
단독방 여론조작 그런 거 다 의미 없음,KIA
박찬호 때문에 팬들이 배가 불렀어요,KIA
기아 위즈덤 응원가  합성 ,KIA
샐캡도입으로 박찬호  계약논란은 당연하다고 생각합니다     선택강요 ,KIA
조상우 외  명 장기계약도 추진이라면,KIA
타팀 팬이라   잘 모르지만  박찬호,KIA
박찬호 생각하는건 팬들이 배가 불렀음,KIA
팀팬이 팀 선수 연봉 많이 주는건 안좋아할 상황 아닌가요,KIA
단톡방 전타갤 둘다 박찬호가 뭐라고 그렇게까지 하는지,KIA
찬호야 기냥   정도 받고 기아떠나라,KIA
지가 전싸갤에 박제당한게 아니꼬우면 거기 가서 얘기하지,KIA
엠팍 초대갤주와  대갤주,KIA
지금 찬호까들이랑 가장 비슷한 애들이 롤에도 있었음,KIA
이번 단톡방 일로 인해 느낀 건,KIA
변우혁,KIA
이 정도면 찬호 애잔해서라도 타팀 가야겠다   ,KIA
타팀팬이 보면 양쪽다 이상한 이유,KIA
조상우는 셋업쓰는게 더 낫죠 ,KIA
전타갤에 바로 언급되네    ,KIA
저는 유격수 수비기회 주라 이것도 웃긴주장이라봄,KIA
기아 해태부터 굘슈팬이지만,KIA
조상우,KIA
  시즌에 선수 흔들면 팀한테 이득이 있나요 ,KIA
야구에 야자도 모르는 애들 박찬호 놓쳐서 김도영이 유격수가,KIA
올해의 한게 요약,KIA
주처 결혼       ,KIA
박찬호  년  억 난 동의,KIA
솔직히 루케테 찬호맘들도 이해가 안되는 게,KIA
몇명정도만 차단하면 깨끗해집니다,KIA
조상우는 잘 잡은거 맞죠 ,KIA
전타갤 루케테,KIA
근데 루테케  뜻이 뭐에요 ,KIA
제가 박찬호 개인팬들에게 궁금한 건 딱 하나입니다,KIA
박찬호 내년   되면,KIA
걍 제발 타팀 가줬으면 좋겠음,KIA
그냥 양쪽 다 아픈사람들 같음,KIA
빨리 서건창 계약이 마무리 되야 엠팍도 덜 들어올듯    ,KIA
기아팬  부류,KIA
좌담 전타갤글보고 갑자기 생각난건데,KIA
오픈채팅방을 파든 갤러리를 파든,KIA
지들이 변우혁 내려치기로 선빵 처놓고 이제 그만하자노   ,KIA
김도영 소속사,KIA
왜 팀내     안에 못드는 박찬호 글이 이렇게 많나 ,KIA
제가 생각하는 내년 기아    기조,KIA
박찬호 박찬호 박찬호 박찬호,KIA
야구나 빨리 보고싶네요,KIA
본인들이 톡방 돌려가며 자팀 내야망주들 묻으려고 했던건 기억에서 싹 지우고,KIA
올시즌 변우혁 문현빈 김영웅  루수출장 타격기록,KIA
하      박찬호갤러리 또 됐네,KIA
    자팀 골글 유격수를 묻어버릴라 하네,KIA
장나라 대상기념 이종범 장나라 영상 및 사진,KIA
기아팬이지만 기아팬 차단을 제일 많이함,KIA
찬호 얘기하는데 김도영 머리채 잡는거부터 코메디,KIA
기아글이 많네요,KIA
지령 오긴 왔나보네요   ,KIA
올시즌 박찬호의 타격 실력이 떨어진건아님,KIA
단장의 행보를 보니,KIA
한게 타 팀팬들 김도영 유도영 단어 차단하세요,KIA
서건창,KIA
그냥 김도영이 유격수로 뛰는 모습을 보고 싶은겁니다,KIA
내년 끝나면 금액이 어느 정도 빠지긴 하네요,KIA
김도영이 우승시켰다고 우기는게 웃겨죽겠음,KIA
백업 이닝수 늘리라는게 뭐가 문제인가요 ,KIA
기아팬들 웃기는게 도영이 유격 그래 찬호나가면 가야되요 근데,KIA
박찬호 선수 체력관리 해주자는 이해가 가죠,KIA
찬호 개인팬들께 질문,KIA
 연예 전지적 참견 시점 김도영 선수 예고편 나왔습니다 ,KIA
  시즌이니 백업을 더써야한다는 논리는 참 신기하네요,KIA
변우혁이 주전  루로 김영웅 문현빈보다 경쟁력있나요 ,KIA
박찬호는 무조건 장기계약해주는 팀으로 갈 확률이 높을거 같네요,KIA
서건창,KIA
당연히   억 스타트 같은글 먹금 할 수 있죠,KIA
이종범을 성공으로 쳐주면 김태균도 성공이죠  ,KIA
리툴링 조기 언급은 꽤나 놀랍네요,KIA
박찬호 이 때 쩔지 않았나요 ,KIA
한게가 기아 게시판도 아니고,KIA
장기적인 리툴링에 외야수가 진짜 없네요,KIA
전타갤 생긴 근본적인 원인은 유도영이 아님,KIA
엘지팬들 많이 나대시네,KIA
오늘 그 카페 단톡방 지령 내려왔나봅니다,KIA
진짜 왕조구축 힘들긴 하네요 기아에 고액이,KIA
박찬호 개인팬덤이 진짜 수만명인가요 ,KIA
박찬호 선수   억 이상 받으려면 중견수 가야됩니다,KIA
심우준을 기준으로 잡으면 안 되죠,KIA
전타갤 보면 좀 무섭기는 함,KIA
진짜 징하긴하네요,KIA
극성 김도영 팬들 보면 좀 소름돋는 면이 있네요,KIA
이종범    강정호 실력면에선 이종범이 윗급이죠 ,KIA
박찬호 계약보다   대초반 군대보내는게 전력감소가 훨씬심합니다,KIA
내년 박찬호 인기 엄청 높겠네요 ,KIA
비   다년계약 왜 하는건가요,KIA
박찬호는 못잡는다고 봐야죠,KIA
박찬호 조상우 최원준 모두   등급 가능하나요 ,KIA
도영이 잡지 실화인가요  ,KIA
오늘도 여지없는 박찬호 쿨타임      ,KIA
아 낮달 기생충같은 인간,KIA
리코는 기아랑 협상하기 보단 기아금액을 지렛대로 타팀 찔러볼 거 같음,KIA
박찬호 최소  억부터 시작이라는 말은  올해 한정입니다   내년엔 또 달라집니다    ,KIA
기아 내년    우선순위 이 선수들 맞나요 ,KIA
바로 린치 처맞고 글내리네   ,KIA
리툴링이면 박찬호 오바페이 안 하겠다는 거네요,KIA
오재원  이종범 누가악랄한가요,KIA
기아가 사실 박찬호 뭐라하는거 김도영이 유격수였다면 어땠을까란거지,KIA
기아는 박찬호한테 거액 절대 안씁니다,KIA
애매한 급 선수 섭타 적당히 써먹고 놔주는게,KIA
이종범은 장나라 본사건보다 그후 방송나와서 한말이 더 경악스럽네요,KIA
     굿바이    ,KIA
박찬호가 쓸만한 유격수긴 한데 영입할 타팀은 안보이는데    ,KIA
구단 핵심 관계자   내년이 대권에 도전할 수 있는 사실상 마지막 시즌이다  이후 리툴링해야 하므로 과감한 결단이 필요했다 ,KIA
박 최 생각보다 인기 없을수도 있어요,KIA
기아 박찬호   로 이탈시,KIA
저는 현상황에선 중견수 윤도현 도전해봤으면 좋겠습니다 ,KIA
박찬호는   억원대 받겠죠 뭐,KIA
박찬호  년   억 잡고  년간 윈나우 달려야죠   ,KIA
박찬호는 결국 외부에 미친팀이 있냐 아닌가요 ,KIA
박찬호는 오히려 적정가가 아니면 타팀에서 데려가기 부담스럽지 않나요 ,KIA
박찬호 타 팀에서     억 질러도 부담 없을걸요,KIA
막말로 내년에   들 다 놔줘도 되는 뎁스네요,KIA
리코 소속 선수 가이 타이거즈 리스트   ,KIA
그만좀 하면 안되나요,KIA
심우준이   억원인데 박찬호는   억원은 줘야죠,KIA
엠팍볼때마다 느끼는데,KIA
찬호는 그 주변인간들이 문제임,KIA
박찬호 적정가 드립치는 애들은 뭘까요,KIA
심재학이 밝힌 소크라테스와의 결별 배경,KIA
포지션 논쟁이 아쉽네요 ,KIA
류현진 이정후 포스팅 구단수익    억    억,KIA
팀 입장에선 박찬호가  급 되는게 더 좋습니다,KIA
김동주 최형우 타자로서 누가 더 급 높나요  ,KIA
부상병동 윤도현이 상수 지나가는 개가 웃겠다,KIA
제가 윤석민 진짜 욕한건 딱 복서짓 한 번 밖에 없음,KIA
최 박 나가면 어떻게 대신하냐는 말은 의미없죠,KIA
박찬호 선수  등급 가능합니다,KIA
양현종    이 생각보다 높네요,KIA
사실 박찬호 어케해서든  로 만드는게 맞긴함,KIA
님들  박찬호 하면 누가 먼저 떠오르심   ,KIA
유도영은 도영이가 언해피 한번 날려주면 되는거 아닌가,KIA
박찬호는   억 넘어가면 보내줘야죠,KIA
내년에 박찬호와 최원준을 노리는 팀은 어디인가요 ,KIA
   억 넘은 선수의 돈값은 우승밖에 없다고 생각해요,KIA
내년 기아가    단속 어떻게 할지 궁금하네요,KIA
이런 방향은 어떠려나요 ,KIA
박찬호가  년  억을 예상대로 받는다면,KIA
아담 올러 분석 ,KIA
윤석민  기아팬들이 저 되게 싫어할 건데    괜찮아요 ,KIA
기사가 리코 소속 선수와    계약 있나요 ,KIA
생각해보니 류윤김이 다 경기출신이네요,KIA
박찬호가  요즘  까이는건 아니죠,KIA
박찬호 못잡을꺼 같아서 아쉽네요,KIA
안치홍,KIA
내년 끝나고    다안잡아도되니까 대상자들 모두   로이드맞아주기를,KIA
임기영은 반등 가능할까요 ,KIA
이종범      이 딱 한번인데 박재홍이 참 위대하네요,KIA
박찬호김도영으로 싸운다는거는,KIA
조상우 좌우 스플릿,KIA
연기대상 탄 장나라의 놀라운 사실,KIA
양현종이 최정급 대우 요구해도 할말없는 이유,KIA
조상우    대 구속 회복은 가능할까요 ,KIA
윤석민 유투브 재밌네요       ,KIA
기아 베스트   타선,KIA
내년 시즌까지는 유도영 볼 가능성 낮겠죠 ,KIA
다음주 전참시 김도영 예고 장면,KIA
도영이 비시즌이라고 티비 너무 많이 나오지마,KIA
담주 전참시 김도영 뭔가 많이 하네요,KIA
    개인적으로 윤석민 유튜브에 오재일 한 번 나왔으면 좋겠네요 ,KIA
윤석민 관리해줬으면 김광현급까지 갔다    못갔다,KIA
기아의 저승사자,KIA
전설의 타이거즈 유튜브 오래오래 해서,KIA
그러고보니     중견수 마땅히 떠오르는 선수가 없네요,KIA
우리 막내 최형우 마흔셋,KIA
김도영 메이저리그까지 생각하면 후계자키워야죠,KIA
오늘 전참시에 도영이 나오나요 ,KIA
강정호 킹캉스쿨 김호령 분석영상 보니,KIA
임기영 연봉  억이면  년이면   억 버는거죠 ,KIA
비시즌 소식 중에 조상우 영입이 제일 설레네요,KIA
양현종 연봉이 살짝 쌔한데 저만 그런가요 ,KIA
근데 김도영 박찬호로 백날 싸워봤자,KIA
근데 크보중견풀이안좋은건,KIA
윤석민유툽  투수들이 예민할수 밖에 없는 이유가 진짜 이해가 바로 되네요,KIA
내년은 위즈덤과 조상우가 키가 되겠네요 ,KIA
타  와 아직도 박찬호 김도영으로 싸우는구나   ,KIA
김도영 정해영 윤도현,KIA
박찬호보다는 황대인 강한울 이 두명이 원흉아닌가,KIA
    받는 선수는 쉽게 이런 저런 이유로 포변주장하고 상위픽 유망주도 포변 주장하는데,KIA
찬호 까는게 아니라 그냥   때 다른팀 갈거같음    ,KIA
중도영은 말이 되죠  중찬호는 말도 안 되고요 ,KIA
조상우 영입은 생각할 수록 짜릿하긴 하네요,KIA
손승락 수석 코치의 조상우 영입 관련 소감,KIA
소위 말하는 서정환의 피해자가,KIA
만루홈런은 운일까요 클러치 능력일까요,KIA
한화 시절의 임기영,KIA
오늘도 참 두짝 다 싸우느라 고생 많으십니다  전 유툽 사이버 윤석민 보면서 즐거운 시간 보냈습니다   추천  ,KIA
  년 박찬호는  루안되서 유격으로간게 팩트입니다,KIA
최원준은 로컬보이급으로 기아에 꽤나 애정이 강하지 않나요 ,KIA
    영입한       홈런 거포  왜 최종 발표 없을까 ,KIA
이예랑이 말하는   협상 때 기아스탠스,KIA
   는    루가 중견보다 더 귀하죠,KIA
