Title,Category
타팀간 짭찬의 모습이 그려진다,KIA
근데 왜 도영이 미국을 당연시여김 ,KIA
짭이 잘하면 좋지,KIA
좌이유 우수지       ,KIA
위즈덤 해 넘어감,KIA
그냥 유도영충하고 짭맘 현피떠서 승자 정하면 안됨 ,KIA
리코랑 협상 안하는거 알면서 리코 쳐끼고 가만있는게   웃김   ,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
전싸갤 최정 헛소리라니까 입막음하냐고   ,KIA
짭맘들은 대체 뭘하면 이렇게 우루루 몰려옴 ,KIA
짭맘 아무리 발작해도 내년 쓰고 버릴거 아니까,KIA
정우영 이번 외인 첫 인상 코멘트,KIA
박찬호 수비로 까는건 병신이죠,KIA
   전싸개들 최정 사야된다고할때 뭔헛소린가했다,KIA
짭애미들 김도영이       위되니까 더 화난거부터 애자같음,KIA
어차피 내년우승하고 버릴건데 뭐,KIA
근데 짭찬 올해 클러치 타격 잘하지 않았냐 ,KIA
전타갤 반대로 했더니 우승함,KIA
짭찬이 골글 유격수는 니기미   ,KIA
위즈덤 오늘까지는 나와야하는거 아니냐 ,KIA
짭이  위 확정 돼고 안빠진 이유가 뭐겠냐,KIA
골빈이 내년엔   홈런 도전 힘들겠지,KIA
짭 골글로 어필하면서 골글 먹여준 김도영 까는거부터 병신임,KIA
짭맘들 헛소리에 댓글 달면서도 왜케 즐겁누    ,KIA
타팀이 전참시 시점으로 보는 김도영,KIA
짭찬은  위 확정되고도 개인성적 올리겠다고 꾸역꾸역 기어나오더니,KIA
찬호야 내년에 제발       해버리자,KIA
찬호야 잘 가라,KIA
이범호는 명장이냐 덕장이냐,KIA
이정후도 내야수 본 적 있음 ,KIA
근데 얼굴로 연봉주면 도영이가 정후보단 못받음   ,KIA
전싸개들이      유니폼도 사주면 박찬호잡음,KIA
정작 코시에서 실책머신이었전건 좆찬호임     ,KIA
김도영  루실책많으면 중견수 보내면됨,KIA
두더지 자르고 종범갑 감독시키면 유도영 바로 씀,KIA
유도영을 하든말든 현장에서 제일 좋은 방향을 찾겠지,KIA
김도영이든 박찬호든 실책가지고 지랄하네,KIA
유도영맘은 상식이 안통함,KIA
박찬호 최원준 잡는법 알려준다,KIA
짭으로  루수 트레이드 해오는 건 어떠냐,KIA
기아코치새끼들은 김도영  루   개 실책 박아도 좋다잖아,KIA
종범갑 전 해태 유격수 레전드는 누구임 ,KIA
유도영 안된다고하는새끼들이 더 야알못같은데,KIA
유도영으로 징징대는 새끼들 특,KIA
아침엔 분명 갤정상이였는데,KIA
출루율  할 다른팀  번보다 짭이 상대하기 더 부담됨,KIA
김도영 중견수 가도됨 좆찬호만  치울수 있으면,KIA
도영이도  루에서 에러   개 박고  루 불가 판정 받음,KIA
김도영    억이 맞냐 ,KIA
타팀인데 유도영 괜찮다고 봄,KIA
엠팍쥐들은 왜자꾸 이상영줍는다 그러노,KIA
짭한테 박하다는 애미년아,KIA
김해성 지금 꼴 보면 모르것냐  김도영이 불운이지,KIA
출루율도 그렇고 좆찬호  번이 애미뒤진게,KIA
유도영 주장하는놈들 거의 종교네         ,KIA
김도망이 조스로 보이냐,KIA
짭한테만 왜그렇게 박한가 했더니 유도영때문이었냐   ,KIA
념글 레전드네   ,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
유도영 외치는 새끼  트럭먹튀 피해자,KIA
왠일로 통피 안막아놨냐,KIA
김도영 개인 입장에선 기아에 지명된게 불운이였네,KIA
전타갤 집착은 그 단톡무리가 제일 심했는데,KIA
짭찬 내년에 타팀 갈거 생각하니 벌써부터 웃음나온다 ,KIA
유도영 주장하는놈들 거의 종교네   ,KIA
아니 어차피 내년에 나갈건데 왜이렇게 피쌈 ,KIA
도영이가 유격 하고 싶다고 하면 한 집안의 가장이 실직한다,KIA
얼마나 개도영 유격수 포지션으로 갈궜으면 애가,KIA
최적의 타순 짜준다,KIA
유격골글   최근   년간 최하위          찍고 언플빨로 강탈,KIA
그냥 경쟁해서 이긴놈이 밀어내는게 당연한게 프로지   ,KIA
 년차에 우승시켜줬는데 도영맘 전타갤타령하는건 걍 애미가 뒤진거지  ,KIA
하루한번  동주야   때 기아 와   일차,KIA
오늘도 갸갤 여론을 열심히 주작하는 전싸갤,KIA
짭  번으로 출루율 별로라고 했다고 난리치는거 ,KIA
갑자기 또 왜지랄남   ,KIA
김도영 성격이 이용규같았으면 진작에 유격수 하고싶다고 언해피 띄웠음,KIA
짭이 유격수만하고 싶다는건 괜찮고 도영이가 유격하고 싶다는건,KIA
김도영도 유격수 자리 강력하게 요구할 때 됐어,KIA
좆찬호맘들 김도영 내야불가 프레임은   개역겨울정도    ,KIA
전싸개들이 도영이 유니폼 많이사줘야됨,KIA
       는 이제 대놓고 짭맘짓 하는구나,KIA
전싸개   들 부들부들하구나 아 즐겁구나 크리스마스 이브가 ,KIA
전싸개들이 그래도 구단에기여많이함,KIA
근데 글에 비추는 누르지 마라 진짜,KIA
하현승 키움갈것같은데,KIA
전싸갤   김태군 우투상대로 약한거 모르냐  데이터도 안봄 ,KIA
전싸갤   코시같은 큰경기에 왜 자꾸 짭찬  번쓰냐고           ,KIA
박찬호가 이거라도 했으면 욕 안 먹음,KIA
그냥 프런트고 감독이고 김도영이 예상외로 더 터져서 우승한걸,KIA
자칭 야잘알들    코시때 한준수선발 좀 쓰라고 욕했음,KIA
야잘알 집합이 갸 프런트인뎅,KIA
 학년에 하현승이라고 괴물있네,KIA
우리도  년 남았을때 틀드하면 안되냐 짭찬 ,KIA
 월  월까지 살기좋은 따뜻한 해외 선진국 어디있을까 ,KIA
더지도 작작 감쌌어야지,KIA
김태형  윤영철 같은해 드랩이면 누가 먼저뽑힘 ,KIA
김태형도 터지면 조대현만 슬퍼지노,KIA
광고모델 선호도,KIA
야구좀알면 짭찬  번기용이   짓인건 다아는데,KIA
짭이  번 치고 싶어하고 어필하는거 자체가 웃긴데,KIA
짭 월별   타순별 성적   번    하위타선 ,KIA
조또영 트레이드 기원    일차,KIA
김혜성 아예 소식이 없네 국내잔류각이노,KIA
내가 생각하는 현재 투수와 대체투수들,KIA
팀에서 제일 빠르고 제일 잘 나가는 놈이 제일 잘쳐서 문제,KIA
갸붕이들은 짭과 함께한   년 행복했냐 ,KIA
위즈덤 이새끼 오피셜 언제뜨냐    ,KIA
최적의 타순 짜봄,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
다른 선수들이 올린 스탯으로  번 좋다는 건 뭐냐,KIA
찬호가 칭찬 받을 수 있는 영역은  번타자 영역 뿐이야,KIA
찬호는 자기가 할 수 있는거만 묵묵히 했으면 먹는욕의    는 사라질듯,KIA
오피셜 전북현대 거스 포옛 섬임,KIA
우리 팀    번 출루율,KIA
각팀 올해 내년 이동거리 비교    ,KIA
     전 구단 외국인 라인업    ,KIA
이제 짭찬과의 시간도  년이 채 안 남았구나,KIA
경찰과 도둑    ,KIA
김도영 포스팅전까지 매년      에       하고 메이저가면,KIA
임기영 간다는 미국 다른 투수 간적있냐 ,KIA
메이자는 출루율이 낮으니 주자가 안깔려서 중심타자 땡기고,KIA
내년 내야 유틸은 기회 많긴 할 거야,KIA
 번이 가장 잘치는 타자 포지션인데,KIA
내년엔  도영 괜찮지 않냐 ,KIA
윤도현이 내년에    도영  분의 만 해도,KIA
정청래 말대로 하면 좆쥐 꼴데 칩네 갤 사람,KIA
  김세현이랑 내년 조상우랑 비슷할까,KIA
내년 타선은 위즈덤하고 나성범이 진짜 중요할 것 같은데,KIA
크리스마스 이브에 쉬는 회사 많냐  ,KIA
도영나비,KIA
전타갤 느그는 단톡방 욕하지마라  ,KIA
전싸갤은 코시  차전 얼마나 좇같을까      ,KIA
조상우 다년계약 우선이 맞지않음 ,KIA
기아 역사상 최고드랩 맞냐 ,KIA
정청래  내란 옹호 댓글 캡쳐해서 전부 처벌 ,KIA
  년  월 중순 댓글예상,KIA
칩 도규 나혼산 놀라운점,KIA
얘 냥뇽녕임  저단임 ,KIA
제일기획은 삼성 광고대행 하청업체인데,KIA
엠팍에서 여론조작 하려는 단톡방 글떳다   ,KIA
박찬호 코시로 까는 전싸갤 병신새끼     ,KIA
  데이비슨이랑 위즈덤 맞팔이네   ,KIA
디시인사이드에서 분탕 치지 않기  일차,KIA
기아 역전승      ,KIA
이시간엔 좃같은 광고만 리젠되네 차라리 짭얘기나 해라,KIA
유튜브 기아선수들 이제 같은내용 반복인데 인터뷰 슬슬지겹네,KIA
올시즌은 짭보다 전범이가 더 까여야하는거아님 ,KIA
 황 엣         압늊릇블릿엔큗벰,KIA
프로야구 운영 그룹의 시가 총액    ,KIA
유승철 장원영 은근잘어울림,KIA
골글 받은 짭찬이 욕 먹을 이유를 진짜 모르겠다,KIA
김도영     전체 번 제쳤다       ,KIA
내년 신입치어리더,KIA
김도영 포텐이면 역대 크보  루수 정상 찍는다고 봄,KIA
 너 뭐한 거야  아  됐다 분위기 띄웠다      김선빈 만세 세리머니,KIA
김한나 내년 봄에 결혼하네     ,KIA
이다혜 대만에서 잘나가네     ,KIA
에스파     넘사      아이브 르세라핌 뉴진스 잡돌,KIA
트럼프    찍 국민의힘이다      ,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
똥칰 멍청도들이 아무리 음해해도 동주는 명백한 전라도의 아들,KIA
김도영 집앞 선물    ,KIA
역시 우리동주야 전라도의 스포츠발전을 위해 힘쓰는구나,KIA
김태균이 좆으로 보이냐 김태균은 고졸신인때부터 씹어먹음,KIA
충주 수소 버스  폭발       ,KIA
안우진이 그렇게 잘 던진다던데 메이저리그 가면 폭격 가능한가요 ,KIA
트럼프가 취임식에     국힘의원만 초대함       ,KIA
안타치고  루수한테 주먹질 세레머니 한거 누구였음 ,KIA
그러고 보니 테스 손편지 썼냐 ,KIA
김도영 억 뭐가 문제냐,KIA
이다혜 근황    ,KIA
위즈덤 오늘 발표해라 진짜,KIA
제 의 김태균 변우혁,KIA
타  너넨 병신인게 주현상을 사가지 왜 조상우를 삼 ,KIA
임기영  우승순간을 집에서   로 지켜보며 아내와 눈물을 흘려,KIA
전타갤년들 아직도 팀갤에서 박찬호만 까고,KIA
낼 집회에 가져갈 응원봉 만듦,KIA
박찬호 장기계약 찌라시,KIA
임기영 싸트 삼성썰    ,KIA
다른부상과 달리 햄쓰 크게 터진건 경험상,KIA
기아우승,KIA
이재명  죄 지으면 벌 받는게 당연 ,KIA
다혜누님 근황 뭐임   ,KIA
모두가 황대인 포기했지만 난 아직 포기안함,KIA
칩평     ,KIA
하루한번  폭풍질주 송민섭  사랑해 화이팅    일차,KIA
선관위털면 중국이 보복할거같은데 감당되나   ,KIA
사실 거지가 돈을 쓰면 본인한텐 겆찬호가 딱이긴 하지  ,KIA
이정후 미국 가면서 이 돈으로 선수들 잡아달라하지 않았냐,KIA
테스 인스타 설명 기아 내렷네,KIA
겆 우리 단장이 내년에는    노린대,KIA
이때    속에서 천불이 남,KIA
박성한 우리팀으로써보니 체감이 너무 좋았음,KIA
테스형 오늘자    ,KIA
어둠의 조던맘이라 조던 남았으면 좋겠어,KIA
이거 보고 느꼈다,KIA
우리 내년까지는 셀캡 안터뜨려도 될거라고 보네,KIA
우리퉁 클러치 능력은 진짜 대단함,KIA
    년     년에는 왜 이렇게 다사다난하고 어지럽냐 ,KIA
짭찬    잡으면 전싸갤 이 사건 재현 가능 ,KIA
이영하 김도영도 타율이  할  푼인데,KIA
똥칰  아 우리 동주는 탈라도랑게유     ,KIA
최형우가 작년보다 올해 성적이 하락했는데 팬들이 좋아하는건,KIA
짭찬은 한동희 수비조롱한게    병신임,KIA
후반기 이우성,KIA
올해 우승로고는 진짜 볼수록 잘 뽑힌듯,KIA
    년 멜론 월간차트  위곡 다 띵곡인가요 ,KIA
이우성 병살타     전체  위 맞음,KIA
조두성이 안치는공은 루킹삼진 치는공은 병살임,KIA
기쁘고 재밌는 한 해였고  우리 팀 성과도 최고조인데,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
이우성은 발사각 못올림 ,KIA
짭톡방 기습시위 좀 그만,KIA
신기한게 전타갤 리젠이 확 줄어들음       ,KIA
이우성이 팀 병살  위지 ,KIA
자기 전에 프리미어   김도영 만루홈런,KIA
아니 근데 짭찬 우승하고 민심 좋았었지 않음 ,KIA
박찬호 병신플레이하고 리액션 크게하는거 꼭 오재원 보는거같음,KIA
    년 멜론 월간차트  위곡 다 띵곡이냐 ,KIA
니들 혹시 유투버 담양오리라고 아냐    ,KIA
조던 근데 선빈이가 맞춰준 양복입고 어디 갔나 ,KIA
씨발 코시 안본거는     지 아들 차에 치여도 할말 없네   ,KIA
황대인 쥐 가면 터질듯,KIA
외야용병이면 서건창 아직 필요하다고 생각하는데,KIA
이의리 구속이랑 구위는 진짜 쩌는거 같다,KIA
김도영 덱스 닮았으면 개추   ,KIA
박재현은 몇라임 ,KIA
야 우리   코시  차전때   ,KIA
근데 테스 없으면 외야 이창진이 주전인가,KIA
김태형 그냥 아직 뽑았을때 그대로인데   ,KIA
건창햄이랑 박병호 무관대결한 거 존나 웃겼는데  ,KIA
      차전에서  회에 스리런 누가 쳤더라    ,KIA
코시 차전 초반에 병살 치고 이틀쉬고  사 루 동점찬스 내야팝업은 씨발,KIA
반지도 같이 꼈는데 아름다운 이별 가야지,KIA
지금의 숏츠 챌린지를 만든 장본인    ,KIA
코시에서 어지간했어야지 씨발 서건창아,KIA
근데 고종욱도 계약하고  군에서 얼마 못봤는데,KIA
한승혁 이 팀에서 어느 정도 했냐 ,KIA
김태형 약간 고려대 박건우 삘 나는데,KIA
서건창 진심 필요없는데,KIA
좆쥐는 문보경 갸창기 얘둘이,KIA
건창햄 계약은 안했으면 했는데,KIA
김도영이 짭찬이 유격수 수비 실력 봉께롱 김도영이 나은데 ,KIA
크보에서 거품제일많이낀게 강백호같은데   ,KIA
갸창기 오면 도영이랑,KIA
         세기 역대 최고의 축구선수,KIA
홍창기 송성문 강백호 다 부모님 기아팬 맞지 ,KIA
박찬호는 솔직히 잡아줬으면 좋겠음,KIA
근데 쥐가 갸창기다년박을셀캡이 있냐,KIA
도영이를 시장에 내놔보자,KIA
송성문은 어디 팔리려나,KIA
쥐가 다년하려면 올해가 적기지,KIA
양현종이 김도영 별로 안좋아하는거 같지 않냐 ,KIA
내년 우승 누가할거 같음  ,KIA
갸창기는진짜시장나오면,KIA
서건창    잡을 거면 코너외야라도 뚫던가,KIA
난 종범신 그 행동은 진짜 이해가 안감,KIA
 년   억본다,KIA
개도영 자꾸 안경쓰네 별론데,KIA
강한울    떄  년  억 이였음   서교수는 ,KIA
찬호 유격수에서 홈까지도 물수제비 송구하네,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
신기한게 지금 시장이 다 갸갤 반대로 흘러가는거같네,KIA
얘기 나온 김에 골글 유격수    차전 활약상,KIA
근데 위즈덤 오피셜은 언제뜨지 ,KIA
이것만봐도 셀캡폐지는 확실함,KIA
날조 없음    프로 팩트만 기입,KIA
홍경인 이라는 연예인 솔직히 검색 안해보고 알았음 ,KIA
에스파     넘사      아이브 르세라핌 뉴진스 잡돌,KIA
도영맘들은 징글징글하네 우승해도 골글타도 지랄이니,KIA
갸붕이들아  선발이  이닝  실점이면 성공인 편이냐   ,KIA
박찬호 삼성가면 좋겠다,KIA
 단독   윤 당선인   윤상현한테 얘기할게    황금폰  내용 단독 확,KIA
왜 박찬호 삼린이 인터뷰짤이 보이면 비추부터 박아 ,KIA
심단장님 내년에 꼭 우리 찬호 잡아주세요,KIA
쓸모없는데 잔정으로 계약    임기영,KIA
근데 김도영 연봉협상 제일 마지막에 한다는 거 보면,KIA
셀캡터지게생겼는데 잔정이 많네,KIA
여기서 짭이 이제 타팀 가주면 샐캡 정상화에 도움된다,KIA
송재우 메이져리그 해설하는애아님 ,KIA
이건 뭔 짤인거냐 무슨 상황이여,KIA
송재우 믿을만한 애임 ,KIA
대구의 심장 대구의 사나이,KIA
이팀 진짜 좋은 팀이네,KIA
전라도 과아앙주 사람들은 도대체 왜 핍박받는거냐,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
건창이형 계약오피셜전까진 설레발 안떤다,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
솔직히 똥칰 멍청도를 싫어하지 광주의 자랑 동주를 싫어하는,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
서건창 잔류 유력,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
전라도 과아아아아아아아 앙주 사람은 사회에서 기피한다며    ,KIA
루리웹에서 벤클 걸라고 지령왔나보네요,KIA
전라도 과아아아아아아아아아아아아아 앙주    ,KIA
전라도 과아아아앙주 출신 아닌것들은 빠져라,KIA
전라도 과아아아앙주 출신 아닌것들은 빠져라,KIA
전라도 과아아아아아아아아아아아아아 앙주    ,KIA
역대 국민여동생중에 제일 성공한 사람은 누구라고 생각하냐 ,KIA
전라도 과아아아아아아아아아아아아아 앙주    ,KIA
  안돼 변우혁은 전라도가 아니야,KIA
전라도 과아아아아아아아아아아아아아 앙주    ,KIA
전라도 과아아아아아아아아아아아아아 앙주    ,KIA
내년 광주기아타이거즈 내야는 이거다 받아적어라,KIA
우성신내년엔 제대로 잘했음좋겠음,KIA
짭맘들 아직도 변우혁 견제하나,KIA
근데 이새끼들 단톡이 또 있는거 아니냐  엠팍에 찬호맘들 없엇는데 원래,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
박찬호 그냥 고향 대구팀 갈듯,KIA
단톡방 조져지고 축리웹에서 엠팍 갸갤로 그맘들 대이동했다,KIA
  초후에 삭제,KIA
찬호 디아도라 바람막이 팔아주면 안되나,KIA
요즘에 바바리안님이 안보이셔서 너무 섭섭해,KIA
대인조토령좆승택 언제방출하냐,KIA
찬호 적당히   억정도에 남을듯 ,KIA
테스는 박수칠때 떠나는게 맞아,KIA
루리웹분들 벤클걸만한 게시물 찾고계신가요 ,KIA
갑자기 테스 보내면 안될거같음,KIA
애덤 올러    구 까지 거뜬하대,KIA
김종국 빠는새끼 대인맘,KIA
홍창기 황대인 틀드 가능한가,KIA
트레이드 떴다,KIA
실시간 서평택   부근    ,KIA
김종국이 초반에 대놓고 밀어줬는데 못받아먹은 한사람,KIA
김종국 욕하는놈들이   인 이유,KIA
김태균유툽에서도 아까 난쟁이한테 프랜차이즈라고하더라,KIA
나도 일본이긴 해,KIA
김종국이 잘한점     ,KIA
임기영이 프차면 이세상 모든 기아 선수들이 프차다,KIA
테스 나가면 은근 그리울거다,KIA
기아 연고지 필요하지 않음 ,KIA
김종국이 교통정리는 잘 하고 갔네,KIA
차노신이 엉성한 폼으로 여기까지 온건 근성이 있었기 때문이지,KIA
이게 김도영 감성이냐 ,KIA
유지성 내년에  군에서 볼수있냐,KIA
임기영정도면 프차냐 ,KIA
김도영 연봉    억 선이지,KIA
김도영 유니폼 매출액이    억밖에 안됨 ,KIA
테스정도면 좋은 용병으로 기억에 남기 가능 ,KIA
롯데의박찬호,KIA
가끔 류지혁 대신 짭이 칩 갔으면 어땠을까 상상해보긴 함,KIA
톱스타 열애설 터진건 보고 갤질하냐  ,KIA
테스 벌어놓은 돈으로 일안해도 먹고살수 있음 ,KIA
엠팍 수준이 그냥 존댓말하는 디씨네        ,KIA
인스타에서 지금 이거 난리났네     ,KIA
테스는 이제 어떻게 되는거냐 ,KIA
도영이 연봉  억  천 본다,KIA
짭맘 어카냐,KIA
역대 갤럽 가수 콩 준우승  위 횟수 순위    ,KIA
나전범과 골빈이 차이점,KIA
너네 자팀 선수면 성적만 보고 누군지 맞출수 있냐 ,KIA
돡찬호되면,KIA
이의리 지금   마일정도 나오나본데,KIA
장현식 마무리감으론 좀 아쉽긴해,KIA
김도영 일년 반짝했는데,KIA
골빈이 이 새끼는 지가 뭔디 김도영보고 미국가라 부추기노 ,KIA
니들도 역대급  루수 이범호라고 생각하냐 ,KIA
도영이는 동년차 최대 의미로  억 줄거같고,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
김혜성은 무조건 메이저 가야지,KIA
쥐  김선빈도 내년에 계약 끝임 ,KIA
응우옌이 음침하진 않은거같음,KIA
심재학이 정에 휘둘려서 서건창이랑 계약해주고 이런거,KIA
임기영이 내년에 응원 많이 해달래,KIA
올시즌 우리팀 샐캡이 한도에서   억  천인데 임기영계약으로 퉁쳐짐,KIA
김선빈 아들이 아빠    타는거 보고 울었대,KIA
김혜성 메쟈 잘안될가능성있다던데 도영이도 미리미리 포지션,KIA
박찬호 최원준 김도영 양복해준이유가 미래투자구나,KIA
광주은행썰이면 개인정보유출인데 겁도없노,KIA
서건창 신행 어디로감 ,KIA
김도영   실책     루에서도   실책    내야불가,KIA
서건창 내년으로 넘어가냐 계약 ,KIA
수영복 입은 이강철,KIA
삼성은  차전 어필 왜 안함 ,KIA
심재학이 짭찬   계약 하면 이거 재현 가능하냐  ,KIA
유니폼인센 광주은행 썰이라는데 무슨 씨발 은행썰이 어케나오노     ,KIA
트레이드 떴다   ,KIA
준영이 현실주인님 좆됨,KIA
킹쟁이 올해 퐈면 얼마 받았음 ,KIA
올해     년 일본 노래방에서 한국 노래 인기 순위 탑      ,KIA
김선빈  차   보장액   억이었네              ,KIA
엠팍에 도영이 유니폼 인센금액 썰 떴는데    개미쳤는데,KIA
킹쟁이가   억인데,KIA
짭찬은 모르겠고 조던은 똥칰때문에,KIA
칰  최원준을   억에노리는이유,KIA
속보  축리웹  차계엄모의,KIA
어저미 새끼들 이동거리 타령 개추하노     ,KIA
김도긩 저점   큰때때 고점 아닌지,KIA
김도영 내년 연봉 적정가 얼마 ,KIA
나만 김기태 감독님 그립냐 ,KIA
내년시즌 김규성에게 젤 바라는거 뭐야 ,KIA
도영 도현의 정신적 지주,KIA
나보고하라고하면 고액연봉자 하나 데려올만큼 팔릴수있게,KIA
전세가 불리할 때 쓰는 상용 무기,KIA
짭찬 내년성적  할 푼 리 홈런  개 타점  타점 도루   ,KIA
도영이가 기아가 아니고 두산이나엘지였으면 구단장사 더잘,KIA
똥칰애들 최원준   억시작이래,KIA
김도영 유니폼    억이면 생각보다 안팔렸네 일반유니폼은,KIA
서건창도 기아가 그냥 싸게 데려가려나 ,KIA
짭찬 얼마가 적정가냐,KIA
서건창 계약은 내년에 뜨냐 ,KIA
의리 갑자기 안쓰던 스냅백 쓰더니,KIA
김도영 올해 유니폼 매출액만    억,KIA
내년  선발 김도현이냐 황동하냐,KIA
  쥐 용궁갔다올뻔하게 우승하고 전력유출만시키고 왕조선언한게 개웃기네,KIA
짭까들 왜 전타갤에서 기어나와서 갤 씹창내냐  ,KIA
다른 팀에서 돈 많이 받고,KIA
국대에서 망성한 체험판 써보니까 안정감지리더라,KIA
근데 진심 짭 한번 나갔으면 좋겠음,KIA
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
김재윤이   억인데 장현식이   억인건 충격이다   ,KIA
짭은 연봉 올려줄 필요가 있나 작년보다 다 떨어졌는데 우승했으니,KIA
그  말고 인스타 자기 닉에 포지션 단 새끼 있냐 ,KIA
우승프리미엄은 김도영 연봉으로 체면 세워줘야지,KIA
임기영 작년에   였으면 같은소속사 김재윤이   억이었으니까,KIA
가짜 홈런 세레머니하면 아웃임 ,KIA
짭톡방 애들 갈수록 념 써는 실력이 늘어가고 있네,KIA
연습  너희 박찬호 왜 욕함  골글 숏 아님 ,KIA
이건 처음보는건데 뭐냐,KIA
임기영 작년 정도만 했어도 더 받았음 ,KIA
      재는 애비좆 애비좆 하는거보니 페미도 하는듯,KIA
범돡갤 왜 념글이 없냐 ,KIA
와 개념글 다 썰었네  짭맘들 대단하다 진짜,KIA
박찬호 다른팀가면 알제   박찬호 왜 욕먹냐  왜 욕하냐  ,KIA
방역   ,KIA
짭 할머니분께서 언제 돌아가셨는지 봤는데   년  월이었구나,KIA
임기영 자다온거냐,KIA
기아타이거즈 갤러리 랜덤짤,KIA
개대중 개도영 맞지,KIA
    박찬호 할머니도 건드는련이 개도영은 하지말래,KIA
도영이 인기에 비교할만한 사람은 류뚱 크보전성기때 아니냐,KIA
이제 사이버불링 그만하고,KIA
이름앞에 개 붙이는건 애칭이지,KIA
갸티비 임기영,KIA
심재학이가 선수들 직접 협상 계약 하것냐 ,KIA
여기 갤주 박찬호 아니냐      ,KIA
어차피 걱정안해 도영이는 어느포지션이든 적응할거라 믿는다,KIA
 황 엣         압늊릇블릿엔큗벰,KIA
박찬호 최원준    잡는다는데 프런트는 다년계약 누구할까,KIA
같은 말이라도 개도영거리지 말아라 병신아,KIA
우승해서 그런건가 올해가 유별나게 흥해서 그런건가 유툽에 볼거 많네,KIA
유격 가능한 유망주 누구든 이거보단 잘하겠지 뭐,KIA
우승이 좋긴 좋네     ,KIA
윤석민 유튜브 이 정도면 완전 대박아니냐   ,KIA
외국인 언제나오냐,KIA
지금 개도영 가지고 염병하는 짭애미들이 제일 멍청함,KIA
답변 제발용,KIA
지금까지 구단 횡보를 보면 짭은 무조건 잡지,KIA
도영이 중견수가면 뭐 나쁠 건 없지 ,KIA
